"filename", "language", "JSON with Comments", "HTML", "Markdown", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/block_chart.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/blocked_music.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/blood.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/bussiness_analysis.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/butterfly_black.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/calendar.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/calendar_65.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/camera_lens.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/cancel.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/car.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/check.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/check_mark.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/children.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/christmas_personal.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/close_entity.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/cloud_rain.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/cn_question.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/code.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/collect.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/collection.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/compass.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
